,time,EVI,lat,lon
13,2019-03-15,0.11175720104028655,4703320,385930
15,2019-03-20,0.14160948222083594,4703320,385930
21,2019-04-16,0.14803034010276486,4703320,385930
23,2019-05-06,0.15308732188527585,4703320,385930
26,2019-05-19,0.3340478281080523,4703320,385930
31,2019-06-08,0.6212613487990769,4703320,385930
34,2019-06-23,0.5842253184237278,4703320,385930
35,2019-06-25,0.6488994703853068,4703320,385930
36,2019-06-28,0.5895836355723199,4703320,385930
39,2019-07-05,0.5536948095719583,4703320,385930
40,2019-07-08,0.5217942493391596,4703320,385930
42,2019-07-13,0.5567028822842777,4703320,385930
46,2019-07-23,0.4504755277197866,4703320,385930
50,2019-08-02,0.5346978500014746,4703320,385930
56,2019-08-29,0.516769682845273,4703320,385930
57,2019-09-03,0.48731775514279996,4703320,385930
58,2019-09-06,0.32434643705925903,4703320,385930
63,2019-09-18,0.5412219142537006,4703320,385930
64,2019-09-21,0.5109938149671319,4703320,385930
66,2019-10-01,0.45643672767089005,4703320,385930
68,2019-10-11,0.45914335388019595,4703320,385930
69,2019-10-13,0.46586333913937356,4703320,385930
70,2019-10-21,0.3351429717141183,4703320,385930
71,2019-10-23,0.30763722493045803,4703320,385930
73,2019-10-28,0.240064736558173,4703320,385930
74,2019-11-02,0.19832041343669254,4703320,385930
77,2019-11-30,0.1564050099206349,4703320,385930
83,2020-01-14,0.14437555358724535,4703320,385930
91,2020-02-23,0.0585802894555479,4703320,385930
95,2020-03-09,0.12093836514643741,4703320,385930
97,2020-03-21,0.13785348381991586,4703320,385930
98,2020-03-26,0.14049645222884893,4703320,385930
100,2020-04-15,0.1274185936762624,4703320,385930
105,2020-05-03,0.1373804054506122,4703320,385930
107,2020-05-13,0.1405816869802438,4703320,385930
111,2020-05-25,0.46129836192504053,4703320,385930
112,2020-05-30,0.6417221414543322,4703320,385930
114,2020-06-07,0.5766083665746139,4703320,385930
115,2020-06-09,0.6934850331843424,4703320,385930
116,2020-06-17,0.6407158836689038,4703320,385930
118,2020-06-22,0.2796405115796751,4703320,385930
119,2020-06-24,0.7207460461023247,4703320,385930
121,2020-07-02,0.5969529482516682,4703320,385930
123,2020-07-07,0.5379400830964356,4703320,385930
124,2020-07-09,0.683766319398655,4703320,385930
125,2020-07-12,0.6576950722785722,4703320,385930
130,2020-07-27,0.584069248928915,4703320,385930
133,2020-08-03,0.4030364689309751,4703320,385930
134,2020-08-08,0.6016810418550101,4703320,385930
136,2020-08-13,0.6045001679167133,4703320,385930
138,2020-08-21,0.5961294607813538,4703320,385930
139,2020-08-23,0.5598972716226666,4703320,385930
144,2020-09-15,0.21409841908301722,4703320,385930
145,2020-09-20,0.6120501216095563,4703320,385930
146,2020-09-22,0.5107423131352117,4703320,385930
148,2020-09-27,0.4936427430000695,4703320,385930
151,2020-10-10,0.4421718440575768,4703320,385930
153,2020-10-15,0.34487001999692357,4703320,385930
154,2020-10-17,0.3778963628703834,4703320,385930
155,2020-10-25,0.24628662009041274,4703320,385930
157,2020-11-04,0.16892191987682464,4703320,385930
158,2020-11-06,0.1513914751422085,4703320,385930
159,2020-11-09,0.14537229137851546,4703320,385930
161,2020-11-29,0.1427438540840603,4703320,385930
172,2021-03-19,0.15719038065974247,4703320,385930
173,2021-03-21,0.14889973852881966,4703320,385930
175,2021-04-03,0.08038431357537944,4703320,385930
176,2021-04-05,0.12062247731037537,4703320,385930
177,2021-04-08,0.12164639226795532,4703320,385930
179,2021-04-13,0.1225582712088327,4703320,385930
181,2021-04-23,0.128276631344116,4703320,385930
182,2021-05-10,0.15744152172050382,4703320,385930
183,2021-05-13,0.18555982646615868,4703320,385930
184,2021-05-15,0.22180416202155329,4703320,385930
185,2021-05-18,0.3062310434736338,4703320,385930
188,2021-06-04,0.5461654216155211,4703320,385930
191,2021-06-14,0.1619155833305484,4703320,385930
192,2021-06-17,0.24994479408192555,4703320,385930
194,2021-06-24,0.18068946382742593,4703320,385930
196,2021-06-29,0.17732874989519576,4703320,385930
203,2021-07-19,0.19415883794054667,4703320,385930
206,2021-08-06,0.4057105293243398,4703320,385930
207,2021-08-08,0.38982425631702367,4703320,385930
215,2021-09-07,0.43097038046845954,4703320,385930
216,2021-09-10,0.41393950114983197,4703320,385930
218,2021-09-20,0.38814718332790626,4703320,385930
219,2021-09-25,0.4361656063684508,4703320,385930
222,2021-10-02,0.3958499356341567,4703320,385930
223,2021-10-07,0.37165540438168543,4703320,385930
224,2021-10-10,0.2666126105255029,4703320,385930
225,2021-10-12,0.3431298970310107,4703320,385930
226,2021-10-20,0.3458649115809068,4703320,385930
227,2021-10-25,0.37241090731571236,4703320,385930
230,2021-11-06,0.2627252055273745,4703320,385930
236,2021-12-14,0.1406202493159015,4703320,385930
245,2022-02-02,0.02102009866968691,4703320,385930
248,2022-03-04,0.04158306051325376,4703320,385930
250,2022-03-14,0.03620094308097872,4703320,385930
251,2022-03-16,0.08745421245421245,4703320,385930
252,2022-03-21,0.12286338855382023,4703320,385930
254,2022-03-29,0.046534358930772166,4703320,385930
261,2022-04-28,0.13900537767033402,4703320,385930
262,2022-04-30,0.13282214414585508,4703320,385930
263,2022-05-08,0.13701718350784026,4703320,385930
264,2022-05-10,0.14658693115519253,4703320,385930
265,2022-05-13,0.2159079204861469,4703320,385930
269,2022-05-25,0.48150725371120107,4703320,385930
270,2022-05-30,0.5826026144494055,4703320,385930
272,2022-06-04,0.5719557195571955,4703320,385930
273,2022-06-14,0.5644744992773074,4703320,385930
281,2022-07-04,0.47079361560629573,4703320,385930
283,2022-07-09,0.48532477043546846,4703320,385930
286,2022-07-17,0.4176736366502049,4703320,385930
287,2022-07-19,0.4535676370341397,4703320,385930
289,2022-07-29,0.4783756761606891,4703320,385930
291,2022-08-03,0.43329049194673086,4703320,385930
293,2022-08-08,0.43736501079913614,4703320,385930
298,2022-08-28,0.40391887246476443,4703320,385930
300,2022-09-02,0.4221647387083649,4703320,385930
301,2022-09-10,0.4238384087200173,4703320,385930
303,2022-09-17,0.37479564032697554,4703320,385930
307,2022-10-05,0.3102246995296987,4703320,385930
309,2022-10-15,0.2510559819144506,4703320,385930
310,2022-10-22,0.20598346449981536,4703320,385930
312,2022-10-30,0.1514423076923077,4703320,385930
313,2022-11-04,0.11409507923269394,4703320,385930
315,2022-11-09,0.11835700473428021,4703320,385930
320,2022-12-21,0.06979008872538413,4703320,385930
322,2022-12-29,0.062272007074689564,4703320,385930
323,2023-01-28,0.04992135676673733,4703320,385930
325,2023-02-14,0.12585227272727273,4703320,385930
326,2023-03-21,0.10240592227020356,4703320,385930
327,2023-03-26,0.1388448111710568,4703320,385930
328,2023-03-29,0.12017332039448442,4703320,385930
329,2023-04-03,0.11192646949818397,4703320,385930
330,2023-04-08,0.11568998109640834,4703320,385930
331,2023-04-10,0.12510703072971174,4703320,385930
